!-----------------------------------
!  Radioastron Input Catalog v029  !
!-----------------------------------
!
! If you would like to change something in this catalog
! please contact Kirill Sokolovsky <kirx@kirx.net>
!
! ----****#### WSRT calibrators ####****----
   source='0134+329', 'J0137+3309', '3C48'  RA=01:37:41.299440  DEC=+33:09:35.13299  equinox='J2000'  rem='WSRT calibrator, rfc_2013d Petrov, 2013, unpublished 140 observations' /
   source='0538+498', 'J0542+4951', '3C147' RA=05:42:36.137900  DEC=+49:51:07.23375  equinox='J2000'  rem='WSRT calibrator, rfc_2013d Petrov, 2013, unpublished 1742 observations' /
   source='1328+307', 'J1331+3030', '3C286' RA=13:31:08.288070  DEC=+30:30:32.95924  equinox='J2000'  rem='WSRT calibrator, not for 92cm, rfc_2013d Petrov, 2013, unpublished 542 observations' /
   source='1409+524', 'J1411+5212', '3C295' RA=14:11:20.407581  DEC=+52:12:11.29094  equinox='J2000'  rem='WSRT calibrator, 92cm only, rfc_2013d Petrov, 2013, unpublished 6 observations' /
! ----****#### Pulsars (the AO2 pulsar list) ####****----
!   source='J0218+4232'             RA=02:18:06.351000 DEC=+42:32:17.43000 equinox='J2000' rem='PSR GP DM=61.252' /
   source='B0329+54', 'J0332+5434' RA=03:32:59.368000 DEC=+54:34:43.57000 equinox='J2000' rem='PSR High dispersed DM=26.833, RA-AO2-01' /
!   source='B0355+54', 'J0358+5413' RA=03:58:53.716500 DEC=+54:13:13.72700 equinox='J2000' rem='PSR High dispersed DM= 57.1420' /
   source='J0437-4715'             RA=04:37:15.883250 DEC=-47:15:09.03186 equinox='J2000' rem='PSR Low dispersed DM=2.64476, RA-AO2-06' /
   source='B0525+21', 'J0528+2200' RA=05:28:52.264000 DEC=+22:00:04.00000 equinox='J2000' rem='PSR High dispersed DM=50.937, RA-AO2-06' /
   source='CRAB', 'J0534+2200','B0531+21' RA=05:34:31.973000 DEC=+22:00:52.06000 equinox='J2000' rem='PSR GP DM=56.791, RA-AO2-05' /
!   source='J0537-6910'             RA=05:37:47.416000 DEC=-69:10:19.88000 equinox='J2000' rem='PSR GP DM=146' /
!   source='B0540-69', 'J0540-6919' RA=05:40:11.202000 DEC=-69:19:54.17000 equinox='J2000' rem='PSR GP DM=146.5 Crab-like pulsar in BMC' /
   source='B0809+74', 'J0814+7429' RA=08:14:59.500000 DEC=+74:29:05.70000 equinox='J2000' rem='PSR Low dispersed DM=5.75, RA-AO2-06' /
   source='B0823+26', 'J0826+2637' RA=08:26:51.383300 DEC=+26:37:23.79000 equinox='J2000' rem='PSR Low dispersed DM=19.454, RA-AO2-06' /
   source='B0834+06', 'J0837+0610' RA=08:37:05.642000 DEC=+06:10:14.56000 equinox='J2000' rem='PSR Low dispersed DM=12.889, RA-AO2-06' /
   source='VELA', 'J0835-4510', 'B0833-45' RA=08:35:20.680000 DEC=-45:10:35.70000 equinox='J2000' rem='PSR High dispersed DM=67.99, RA-AO2-01' /
   source='B0919+06', 'J0922+0638' RA=09:22:14.022    DEC=+06:38:23.30    equinox='J2000' rem='PSR DM=27.271, position from 2004MNRAS.353.1311H, RA-AO2-06' /
   source='B0950+08', 'J0953+0755' RA=09:53:09.309700 DEC=+07:55:35.75000 equinox='J2000' rem='PSR Low dispersed DM=2.958, RA-AO2-06' /
!   source='J1012-5830'             RA=10:12:54.900000 DEC=-58:30:25.60000 equinox='J2000' rem='PSR GP DM=294' /
   source='B1133+16', 'J1136+1551' RA=11:36:03.247700 DEC=+15:51:04.48000 equinox='J2000' rem='PSR Low dispersed DM=4.864, RA-AO2-06' /
   source='B1237+25', 'J1239+2453' RA=12:39:40.461400 DEC=+24:53:49.29000 equinox='J2000' rem='PSR Low dispersed DM=9.242, RA-AO2-06' /
!   source='B1508+55', 'J1509+5531' RA=15:09:25.629800 DEC=+55:31:32.39400 equinox='J2000' rem='PSR High dispersed DM=19.613' /
   source='B1641-45', 'J1644-4559' RA=16:44:49.281000 DEC=-45:59:09.50000 equinox='J2000' rem='PSR High dispersed DM=478.8, RA-AO2-01' /
   source='B1642-03', 'J1645-0317' RA=16:45:02.041400 DEC=-03:17:58.32000 equinox='J2000' rem='PSR High dispersed DM=35.727, RA-AO2-01, RA-AO2-06' /
!   source='J1701-3006'             RA=17:01:12.822200 DEC=-30:06:51.82000 equinox='J2000' rem='PSR GP DM=113.291' /
   source='B1749-28', 'J1752-2806' RA=17:52:58.689600 DEC=-28:06:37.30000 equinox='J2000' rem='PSR High dispersed DM=50.372, RA-AO2-01' /
   source='B1818-04', 'J1820-0427' RA=18:20:52.600000 DEC=-04:27:38.10000 equinox='J2000' rem='PSR High dispersed DM= 84.435, RA-AO2-01' /
!   source='B1820-30A', 'J1823-3021' RA=18:23:40.487010 DEC=-30:21:40.12700 equinox='J2000' rem='PSR GP DM=86.8797' /
!   source='B1821-24A', 'J1824-2452' RA=18:24:32.007960 DEC=-24:52:10.82400 equinox='J2000' rem='PSR GP DM=120.502' /
!   source='J1843-1113'             RA=18:43:41.262250 DEC=-11:13:31.05200 equinox='J2000' rem='PSR GP DM=59.96' /
   source='B1859+03'               RA=19:01:31.781    DEC=+03:31:05.92    equinox='J2000' rem='PSR DM=402.080, position from 2004MNRAS.353.1311H, RA-AO2-01' /
   source='B1919+21', 'J1921+2153' RA=19:21:44.815000 DEC=+21:53:02.25000 equinox='J2000' rem='PSR Low dispersed DM=12.455, RA-AO2-06' /
   source='B1929+10', 'J1932+1059' RA=19:32:13.949700 DEC=+10:59:32.42000 equinox='J2000' rem='PSR Low dispersed DM=3.180, RA-AO2-06' /
   source='B1933+16', 'J1932+1059' RA=19:35:47.825900 DEC=+16:16:39.98600 equinox='J2000' rem='PSR High dispersed DM=158.521, RA-AO2-01' /
!   source='B1937+21', 'J1939+2134' RA=19:39:38.550000 DEC=+21:34:59.10000 equinox='J2000' rem='PSR GP,High dispersed DM=71.0398' /
   source='B1946+35', 'J1948+3540' RA=19:48:25.006700 DEC=+35:40:11.05700 equinox='J2000' rem='PSR DM=129.075, RA-AO2-01' /
!   source='B1957+20', 'J1959+2048' RA=19:59:36.769880 DEC=+20:48:15.12220 equinox='J2000' rem='PSR GP, High dispersed DM=29.1168' /
   source='B2016+28', 'J2018+2839' RA=20:18:03.833300 DEC=+28:39:54.21200 equinox='J2000' rem='PSR Low dispersed DM=14.172, RA-AO2-06' /
!   source='J2022+3842'             RA=20:22:21.689000 DEC=+38:42:14.82000 equinox='J2000' rem='PSR GP, High dispersed DM=429.1' /
!   source='B2020+28', 'J2022+2854' RA=20:22:37.067100 DEC=+28:54:23.10400 equinox='J2000' rem='PSR Low/high dispersed DM=24.640' /
!   source='B2021+51', 'J2022+5154' RA=20:22:49.873000 DEC=+51:54:50.23300 equinox='J2000' rem='PSR High dispersed DM=22.648' /
!   source='B2111+46', 'J2113+4644' RA=21:13:24.307000 DEC=+46:44:08.70000 equinox='J2000' rem='PSR High dispersed DM=141.26' /
!   source='B2217+47', 'J2219+4754' RA=22:19:48.139000 DEC=+47:54:53.93000 equinox='J2000' rem='PSR High dispersed DM=43.519' /
! ----****#### Masers ####****----
!   source='S_PERSEI_OH'   RA=02:22:51.7106  DEC=58:35:11.444   equinox='J2000' rem='OH  maser; positions for H2O maser from  2010ApJ721...267Asaki' /
!   source='S_PERSEI_H2O'  RA=02:22:51.7106  DEC=58:35:11.444   equinox='J2000' rem='H2O maser; positions from  2010ApJ721...267Asaki' /
   source='W3IRS5_H2O'    RA=02:25:40.7120  DEC=62:05:52.522   equinox='J2000' rem='H2O maser; translated from B1950 positions 2000ApJ538..751Imai, RA-AO2-08' /
   source='W3OH_OH'       RA=02:27:03.8327  DEC=61:52:25.264   equinox='J2000' rem='OH maser; positions from 2005MNRAS357..800Wright, RA-AO2-13' /
   source='W3OH_H2O'      RA=02:27:04.8362  DEC=61:52:24.607   equinox='J2000' rem='H2O maser; positions from 2006ApJ645..337Hachisuka, RA-AO2-13' /
   source='ORION_H2O'     RA=05:35:14.1255  DEC=-05:22:36.475  equinox='J2000' rem='H2O maser; position from 2011ApJ739L..59H, RA-AO2-08' /
!   source='NGC2071_H2O'   RA=05:47:04.758   DEC=00:21:42.70    equinox='J2000' rem='H2O maser; translated from B1950 positions for TW1-1 from 1998ApJ505..756Torelles' /
!   source='S269_OH'       RA=06:14:37.07    DEC=13:49:36.3     equinox='J2000' rem='OH maser; positions from 2005ApJS160...220Fish' /
!   source='S269_H2O'      RA=06:14:37.07933 DEC=13:49:36.6945  equinox='J2000' rem='H2O maser; position from Honma et al 2008' /
!   source='VY_CMA_H2O'    RA=07:22:58.32906 DEC=-25:46:03.1410 equinox='J2000' rem='H2O maser; position from Choi2009' /
!   source='VY_CMA_OH'     RA=07:22:58.32906 DEC=-25:46:03.1410 equinox='J2000' rem='OH maser; position for H2O maser from Choi2009' /
   source='NGC3079', 'NGC3079_H2O'   RA=10:01:57.802   DEC=55:40:47.26    equinox='J2000' rem='H2O maser; positions from 2005ApJ...618K, RA-AO2-13' /
   source='NGC4258', 'NGC4258_H2O'   RA=12:18:57.5046  DEC=47:18:14.303   equinox='J2000' rem='H2O maser; positions from Herrnstein et al. 2005, RA-AO2-13' /
   source='RT_VIR_H2O'    RA=13:02:37.980   DEC=05:11:08.40    equinox='J2000' rem='H2O maser; positions from 2012A&A546..A16..75Richards, RA-AO2-13' /
   source='IRAS15193+3132_H2O', 'IRAS1519', 'VS_CRB', 'IRAS15193+31'   RA=15:21:23.95608 DEC=31:22:02.5730  equinox='J2000' rem='H2O WF maser; positions from Simbad, RA-AO2-13'/
!   source='U_HER_H2O'     RA=16:25:47.47167 DEC=18:53:32.8556  equinox='J2000' rem='H2O maser; positions from Simbad'/
   source='SGR_B2M' ,'SGR_B2M_H2O'    RA=17:47:20.150   DEC=-28:23:04.03   equinox='J2000' rem='H2O maser; positions from 2009Apj705...1548Reid, RA-AO2-13' /
   source='VX_SGR_H2O'    RA=18:08:04.04831 DEC=-22:13:26.6327 equinox='J2000' rem='H2O maser; positions from Simbad, RA-AO2-13'/
   source='IRAS1811', 'IRAS18113-2503_H2O' RA=18:14:26.740   DEC=-25:02:54.80   equinox='J2000' rem='H2O WF maser; positions from 2011ApJL739..L14Gomez, RA-AO2-13'/
   source='IRC10414', 'IRC10414_H2O'  RA=18:23:17.866   DEC=-13:42:47.67   equinox='J2000' rem='H2O maser; positions for SiO masers from 2008PASJ60..1051Ueda, RA-AO2-13'/
!   source='OH17.7-2_H2O', 'V445SCT'  RA=18:30:30.620   DEC=-14:28:55.8    equinox='J2000' rem='H2O and OH maser (V445 Sct); positions from Simbad '/  
!   source='OH17.7-2_OH',  'V445SCT'  RA=18:30:30.620   DEC=-14:28:55.8    equinox='J2000' rem='H2O and OH maser (V445 Sct); positions from Simbad '/  
!   source='IRAS18286-0959_H2O'  RA=18:31:22.934   DEC=-09:57:21.70   equinox='J2000' rem='H2O WF maser; positions from 2013PASJ65..28Imai'/
!!!!!! WRONG POSITION !!!!!!
!   source='W43A_H2O'      RA=18:47:01.166   DEC=-01:45:11.7    equinox='J2000' rem='H2O WF maser; positions from 2006ApJ648..L59Vlemmings, RA-AO2-13'/
!!!!!! CORRECTED POSITON !!!!!!
   source='W43A_H2O'      RA=18:47:41.166   DEC=-01:45:11.7    equinox='J2000' rem='H2O WF maser; positions from 2006ApJ648..L59Vlemmings, RA-AO2-13'/
   source='G34.26+0.1', 'G34.26+0.15_OH'     RA=18:53:18.685   DEC=01:14:59.9     equinox='J2000' rem='OH maser; positions from 2001MNRAS320...217Slysh, RA-AO2-08, RA-AO2-13' /
   source='W48_OH'        RA=19:01:45.54    DEC=01:13:32.6     equinox='J2000' rem='OH maser; positions from 2000ApJS...129Argon, RA-AO2-13' /
   source='W49N_H2O'      RA=19:10:13.4096  DEC=+09:06:12.803    equinox='J2000' rem='H2O maser; position from the Astrophysical Journal, 775:79, 2013 Zhang et al., RA-AO2-13' /
   source='W49N_OH'       RA=19:10:13.18    DEC=09:06:12.2     equinox='J2000' rem='OH maser; positions from 2000ApJS...129Argon, RA-AO2-13' /
   source='OH043_H2O', 'OH043.8-00.13_H2O', 'G043.796-00.127'  RA=19:11:53.997   DEC=09:35:50.59   equinox='J2000' rem='H2O maser; translated from B1950 positions from 2002ApJ580...928Sarma, RA-AO2-13' /
   source='OH043_OH', 'OH043.8-00.13_OH',  'G043.796-00.127'  RA=19:11:54.01    DEC=09:35:50.0    equinox='J2000' rem='OH maser; positions from 2000ApJS...129Argon, RA-AO2-13' /
!   source='G045.472+00.134_OH' RA=19:14:07.36    DEC=11:12:15.6     equinox='J2000' rem='OH maser; positions from 2000ApJS...129Argon' /
   source='W51_E8_H2O'    RA=19:23:43.87363 DEC=14:30:29.4536  equinox='J2000' rem='H2O maser; positions from 2010ApJ720...1055Sato, RA-AO2-08, RA-AO2-13' /
   source='W51_E2_H2O'    RA=19:23:43.823   DEC=14:30:36.692   equinox='J2000' rem='H2O maser; calculated positions from 2010ApJ720...1055Sato, RA-AO2-08, RA-AO2-13' /
   source='W51_E2_OH'     RA=19:23:43.918   DEC=14:30:34.03    equinox='J2000' rem='OH maser; calculated from  positions from 2007ApJ670...1159Fish, RA-AO2-08, RA-AO2-13' /
   source='W51_E8_OH'     RA=19:23:43.9715  DEC=14:30:28.395   equinox='J2000' rem='OH maser; positions from 2007ApJ670...1159Fish, RA-AO2-08, RA-AO2-13' /
   source='ON1_H2O', 'ON1_WMC2_H2O'  RA=20:10:09.1328  DEC=31:31:34.70    equinox='J2000' rem='H2O maser; positions WMC2?, RA-AO2-08, RA-AO2-13' /
   source='ON1_OH'        RA=20:10:09.05    DEC=31:31:35.2     equinox='J2000' rem='OH maser; positions from 2005ApJS160...220..271Fish, RA-AO2-08, RA-AO2-13' /
   source='ON1_WMC1', 'ON1_WMC1_H2O'  RA=20:10:09.20454 DEC=31:31:36.1012  equinox='J2000' rem='H2O maser; positions from 2011PASJ63...23Nagayama, RA-AO2-08, RA-AO2-13'/
!   source='ON2_H2O'       RA=20:21:44.013   DEC=37:26:37.97    equinox='J2000' rem='H2O maser; positions from 2009ASP Conference Series, V402..452ANDO'/
   source='W75N_OH'       RA=20:38:36.4082  DEC=42:37:34.238   equinox='J2000' rem='OH maser; positions from 2010MNRAS404..1121Slysh, RA-AO2-08, RA-AO2-13' /
   source='W75S_OH'       RA=20:39:00.96    DEC=42:22:48.1     equinox='J2000' rem='OH maser; positions from 2005ApJS160...220Fish, RA-AO2-13' /
   source='NML_CYG', 'NML_CYG_H2O'   RA=20:46:25.543   DEC=40:06:59.42    equinox='J2000' rem='OH maser; positions from 2008PASJ60...1069NAGAYAMA, RA-AO2-13' /
